City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
522,Ellisras,ZA,71.26,overcast clouds,-23.6649,27.7443,Lapa le le guesthouse
524,Olinda,BR,83.93,few clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
525,Brokopondo,SR,79.47,overcast clouds,4.75,-55.1667,Matu Island
528,Pitangui,BR,70.84,moderate rain,-19.6828,-44.8903,Pousada Monsenhor Vicente
530,Iguape,BR,77.56,clear sky,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
533,Kandrian,PG,77.88,light rain,-6.2167,149.55,Kandrian Station
534,Eyl,SO,72.18,clear sky,7.9803,49.8164,Amiin Hotel
535,Vanimo,PG,77.29,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
536,Takoradi,GH,79.65,clear sky,4.8845,-1.7554,Raybow International Hotel
539,Hospet,IN,70.81,clear sky,15.2667,76.4,Hotel Malligi Hampi
543,Kualakapuas,ID,77.16,light rain,-3.0091,114.3876,Guest House Izonk
544,Tomatlan,MX,86.38,clear sky,19.9333,-105.25,El Salvial
545,Can Tho,VN,75.18,clear sky,10.0333,105.7833,Kim Lan Hotel Can Tho
552,Tirumullaivasal,IN,78.62,light rain,11.2333,79.8333,Almupaark complex
554,Mahebourg,MU,77.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
559,Luanda,AO,82.4,scattered clouds,-8.8368,13.2343,Hotel Fórum
561,Maldonado,UY,83.59,clear sky,-34.6667,-54.9167,La Cimarrona
563,Lucea,JM,82.26,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
565,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,900 Boutique INN
568,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
569,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
574,Nhamunda,BR,79.74,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
575,Talcahuano,CL,71.28,clear sky,-36.7167,-73.1167,departamento comodo
576,Waingapu,ID,76.68,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
577,Rocha,UY,75.87,clear sky,-34.4833,-54.3333,Hotel Arrarte
579,Harrison,US,71.35,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
582,Saint-Joseph,RE,73.78,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
587,Bassila,BJ,79.99,clear sky,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
588,Caucaia,BR,84.15,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
589,Zaraza,VE,87.31,scattered clouds,9.3503,-65.3245,Hotel Zaraza
591,Rumonge,BI,70.77,light rain,-3.9736,29.4386,Kwetu Guest House
